Please solve the following SAT Problem encoded in DIMACS format, only return a single solution assignment without explanations, if there is any: 
p cnf 10 55
5 3 10 0
1 -3 -8 0
6 9 2 0
-6 9 -8 0
-3 6 -10 0
-1 5 -3 0
-7 2 1 0
6 5 1 0
-3 1 5 0
6 -8 -1 0
-1 4 5 0
-8 -3 2 0
5 -8 9 0
9 -2 7 0
4 3 9 0
-10 6 9 0
4 -3 -5 0
7 6 4 0
5 10 -3 0
3 -8 2 0
9 7 4 0
6 8 5 0
3 4 7 0
9 5 2 0
4 -6 2 0
7 -3 9 0
5 -8 -3 0
-8 5 9 0
-8 -3 10 0
6 4 2 0
4 2 -3 0
-4 7 10 0
1 2 -4 0
4 6 10 0
9 -10 -8 0
6 8 3 0
2 10 -1 0
-8 2 7 0
4 -8 -6 0
2 1 -3 0
5 -3 6 0
-7 8 2 0
7 1 4 0
2 9 10 0
-8 9 7 0
10 4 2 0
4 7 2 0
-7 4 9 0
9 -8 2 0
-8 -3 4 0
1 9 2 0
-8 2 7 0
6 9 2 0
9 7 -8 0
4 6 -3 0

