Please solve the following SAT Problem encoded in DIMACS format, only return a single solution assignment without explanations, if there is any: 
p cnf 10 85
2 -9 4 0
2 5 10 0
-4 6 -2 0
9 -4 -1 0
6 -7 -5 0
-7 -8 -1 0
2 9 -8 0
3 -10 -1 0
4 -8 2 0
-1 3 6 0
3 -10 -8 0
6 5 -7 0
-10 -6 -9 0
-8 -1 -6 0
-1 2 -7 0
5 -4 -1 0
-7 2 8 0
-7 -9 -4 0
-4 -1 -2 0
6 5 -10 0
5 -7 -2 0
-1 -8 3 0
9 -2 3 0
-1 -10 -6 0
-9 -4 2 0
1 7 -4 0
6 -8 3 0
7 6 -8 0
2 5 -8 0
5 2 9 0
-7 -2 -1 0
-4 -7 6 0
-10 3 -4 0
-7 -10 -6 0
-7 9 3 0
2 -5 -10 0
5 2 -7 0
5 6 3 0
-5 -6 -8 0
9 -4 3 0
-6 -4 -2 0
-1 -8 -3 0
4 2 3 0
10 -8 3 0
6 -1 9 0
9 2 -1 0
-1 -8 -4 0
3 4 6 0
5 -10 -8 0
8 5 -10 0
-7 -2 -4 0
-4 9 10 0
3 -1 -4 0
2 9 -1 0
-10 -8 2 0
3 -1 -10 0
2 -4 -3 0
1 -8 3 0
9 -8 -7 0
-8 -10 5 0
6 -8 -10 0
6 9 -8 0
-10 2 3 0
6 -8 -10 0
3 6 -7 0
6 -8 -4 0
-1 -3 -4 0
-1 -7 9 0
3 -6 -5 0
10 -4 -1 0
-5 -4 10 0
7 -10 -5 0
-9 6 2 0
4 -1 -8 0
3 9 8 0
2 3 -10 0
6 2 5 0
-4 5 6 0
-10 -7 5 0
6 -3 -4 0
-3 9 6 0
-10 -8 9 0
-7 -6 1 0
6 8 -1 0
4 -10 6 0

