Please solve the following SAT Problem encoded in DIMACS format, only return a single solution assignment without explanations, if there is any: 
p cnf 10 85
8 2 -1 0
-2 -6 -8 0
1 3 -7 0
-6 -1 -2 0
-1 7 -6 0
-3 -2 -10 0
-9 -2 -3 0
8 -3 -2 0
-6 -10 -5 0
-5 4 -6 0
-10 -9 -7 0
4 3 -5 0
-9 -1 -8 0
-1 -10 -3 0
3 -1 -6 0
-6 -1 -5 0
6 -2 4 0
-1 -3 -10 0
2 8 -7 0
-2 8 -7 0
7 -10 -1 0
-3 -1 -6 0
-5 4 -3 0
-7 -9 4 0
4 -1 -8 0
8 -1 10 0
2 8 -3 0
6 -2 -7 0
-2 -7 -9 0
-2 -9 -1 0
9 -10 -7 0
-1 -3 -5 0
-10 -6 4 0
-1 2 4 0
8 6 -3 0
-4 -10 7 0
5 -4 -2 0
4 8 2 0
-5 6 -10 0
-10 9 -6 0
-5 -9 -10 0
-9 -5 8 0
-6 -1 -3 0
-2 4 -7 0
4 -10 5 0
-5 -8 -7 0
-1 -2 -6 0
-9 8 3 0
8 -2 -5 0
-9 -6 -5 0
9 -5 -10 0
-7 -6 1 0
5 4 -1 0
-9 5 4 0
7 -1 8 0
-9 8 -7 0
3 -5 -2 0
1 -10 -2 0
-3 7 -6 0
1 -3 -2 0
-10 4 -7 0
-5 -10 4 0
-8 -3 7 0
8 -7 -6 0
-1 -9 -2 0
4 -1 -2 0
-5 1 -2 0
9 -10 4 0
-1 -2 -7 0
-7 -3 -10 0
-1 -4 -9 0
-1 -7 10 0
-10 -7 -1 0
-1 -9 -2 0
-10 -1 5 0
-1 8 -10 0
-9 -7 -5 0
8 4 -1 0
8 -1 -7 0
-3 -5 8 0
-6 8 -7 0
-6 -2 7 0
-2 -6 -10 0
-5 -7 4 0
7 -9 -6 0

