Please solve the following SAT Problem encoded in DIMACS format, only return a single solution assignment without explanations, if there is any: 
p cnf 10 80
2 3 -9 0
-9 8 -5 0
3 -4 -9 0
-9 7 -1 0
7 -5 10 0
-5 2 6 0
10 -5 8 0
-3 -5 -1 0
-9 -5 -3 0
2 7 -5 0
3 1 -5 0
4 10 7 0
-9 4 2 0
-5 8 -6 0
3 -5 -6 0
-9 -5 7 0
-9 -2 6 0
8 6 -9 0
2 6 -9 0
2 -5 8 0
2 10 1 0
10 4 -7 0
-5 8 -9 0
4 1 6 0
4 -6 8 0
-9 4 3 0
10 -5 4 0
-5 3 4 0
4 -2 -9 0
2 -9 3 0
10 6 1 0
-9 2 -6 0
6 7 -8 0
4 10 3 0
6 -9 2 0
-9 7 4 0
1 -5 8 0
-9 -7 -5 0
-7 6 3 0
-9 7 -10 0
3 8 -9 0
-5 2 10 0
3 -5 2 0
-6 7 10 0
6 10 8 0
4 -1 -5 0
3 7 8 0
10 -9 3 0
7 -5 6 0
6 10 -5 0
7 8 6 0
10 7 6 0
3 1 7 0
1 -5 3 0
-9 -4 8 0
6 3 4 0
1 -4 3 0
6 -9 7 0
10 -5 -9 0
2 -8 7 0
9 10 8 0
2 1 -5 0
-5 7 4 0
-1 10 2 0
7 -9 4 0
1 -5 3 0
2 -5 1 0
-7 1 5 0
-5 -6 1 0
4 1 10 0
6 3 10 0
10 -5 -1 0
3 -7 -6 0
7 2 -1 0
-3 -9 1 0
4 10 -3 0
-7 1 -9 0
7 2 4 0
6 1 10 0
4 7 -5 0

