Please solve the following SAT Problem encoded in DIMACS format, only return a single solution assignment without explanations, if there is any: 
p cnf 10 80
-9 10 -1 0
-8 2 -1 0
3 -1 -8 0
-1 10 -8 0
-7 4 10 0
-7 10 2 0
2 1 -5 0
-5 -10 6 0
6 -5 -1 0
-9 2 -3 0
-1 4 -10 0
-3 -9 10 0
-7 4 -6 0
-5 2 -6 0
2 4 -1 0
-3 10 -7 0
2 -5 -9 0
-8 -7 10 0
-3 -6 7 0
-9 2 4 0
-1 -7 -10 0
2 3 -7 0
-2 -8 -9 0
-8 6 -10 0
-7 4 1 0
6 4 -7 0
-1 -8 -5 0
-1 -10 3 0
10 2 -8 0
6 -10 -7 0
-8 -9 4 0
-8 -7 -1 0
-3 -8 4 0
-3 -4 -1 0
-2 4 -3 0
4 -3 -9 0
-5 -10 6 0
-8 -9 -5 0
-5 10 6 0
-6 10 -7 0
-1 8 -3 0
-3 -5 1 0
6 7 2 0
-8 -9 -4 0
-1 -3 -5 0
9 -7 4 0
-5 3 10 0
-8 2 1 0
2 -1 -3 0
3 2 10 0
-3 10 -4 0
-5 10 -1 0
8 -1 10 0
4 -1 10 0
-1 -9 -8 0
-9 -5 -1 0
8 -1 -9 0
2 -8 10 0
-7 4 -9 0
-9 -8 10 0
-8 10 6 0
-8 -9 2 0
4 -3 7 0
1 -5 4 0
6 -1 -8 0
10 2 -1 0
-9 4 -3 0
-3 -1 -5 0
-2 -7 1 0
6 4 -7 0
-2 6 8 0
-5 -9 10 0
10 -1 -4 0
2 4 -8 0
8 -7 10 0
4 -3 -6 0
9 -6 -8 0
-5 -1 -2 0
4 -9 -3 0
-3 6 -8 0

