Please solve the following SAT Problem encoded in DIMACS format, only return a single solution assignment without explanations, if there is any: 
p cnf 10 100
-2 8 -1 0
-1 -10 4 0
4 8 -7 0
-6 8 -5 0
-9 7 -4 0
-9 -5 8 0
-5 4 6 0
-3 -6 7 0
-2 7 4 0
3 -9 -10 0
-1 -4 2 0
4 -6 2 0
-10 -8 -6 0
7 -6 9 0
-2 -5 -1 0
8 9 4 0
-1 -5 7 0
-9 3 4 0
-5 4 -6 0
3 2 -10 0
-4 8 -10 0
-4 3 -6 0
-6 4 -2 0
4 -2 8 0
4 -2 3 0
10 -2 -6 0
-1 4 6 0
-1 3 4 0
-9 -7 3 0
-5 -2 -9 0
-2 -6 8 0
8 9 -6 0
3 9 -10 0
-2 -5 1 0
-7 4 -10 0
7 -3 -2 0
-5 4 -10 0
-5 7 10 0
-5 4 -6 0
7 3 6 0
4 8 -1 0
1 -9 -10 0
-9 3 -10 0
-9 7 1 0
1 8 -2 0
-8 4 7 0
-7 3 -2 0
-1 -10 -6 0
3 -1 4 0
-6 -9 10 0
-5 -9 4 0
-2 4 9 0
3 -5 7 0
-9 7 -10 0
-10 8 -5 0
-10 3 -1 0
-9 -2 -6 0
4 -9 -1 0
-9 8 -1 0
7 4 -10 0
1 -10 -6 0
8 -6 -9 0
-8 -2 7 0
7 -4 -10 0
-6 -1 -9 0
-2 8 -6 0
-1 -8 -2 0
-9 -10 -6 0
4 -6 -5 0
-3 -5 7 0
-7 3 -10 0
-10 3 -6 0
7 -10 -1 0
4 9 -10 0
-10 4 7 0
3 5 -6 0
3 -2 -1 0
3 -6 5 0
-2 4 3 0
-3 -9 4 0
-1 8 -9 0
-2 -9 -6 0
-2 -3 -8 0
-1 8 4 0
-6 -9 7 0
8 4 3 0
-9 -6 -1 0
-10 -6 -1 0
-10 -2 -1 0
8 -10 3 0
-5 4 -2 0
-1 8 -10 0
-9 3 -5 0
3 5 8 0
-10 8 3 0
-10 3 5 0
4 -2 7 0
7 8 -5 0
8 4 -1 0
-5 4 -2 0

