Please solve the following SAT Problem encoded in DIMACS format, only return a single solution assignment without explanations, if there is any: 
p cnf 10 40
5 10 2 0
5 -3 1 0
4 5 1 0
-6 7 4 0
1 7 4 0
-8 -2 -6 0
8 1 2 0
5 1 -3 0
8 1 10 0
7 1 -10 0
4 8 5 0
5 -6 3 0
4 1 8 0
5 -3 1 0
1 7 -10 0
3 7 -10 0
7 2 4 0
-1 -6 4 0
4 2 -10 0
4 -10 5 0
8 7 -3 0
-2 -10 4 0
5 4 2 0
-2 -10 8 0
3 4 -9 0
4 8 -9 0
3 4 7 0
4 -2 -8 0
-10 -5 -4 0
6 2 -3 0
-6 3 10 0
5 -4 3 0
-10 4 1 0
4 -1 -10 0
4 -6 2 0
-1 -10 7 0
4 -5 1 0
-6 5 3 0
8 5 3 0
7 3 -10 0

