Please solve the following SAT Problem encoded in DIMACS format, only return a single solution assignment without explanations, if there is any: 
p cnf 10 60
-10 -4 -8 0
-10 -7 8 0
-1 7 3 0
-1 3 -10 0
-10 -1 2 0
2 9 -5 0
-7 -10 1 0
-3 -9 -4 0
3 -2 -5 0
-1 -7 -4 0
6 -4 -5 0
6 2 -1 0
5 1 8 0
-10 6 -5 0
2 -5 8 0
-5 10 8 0
-5 2 -9 0
8 3 2 0
2 -7 -5 0
-1 3 6 0
-7 -6 -5 0
-5 10 -4 0
8 6 1 0
-1 -10 -9 0
-7 -9 3 0
-8 1 -4 0
6 -10 2 0
-7 3 -5 0
-9 8 -7 0
2 -9 8 0
-5 -10 8 0
2 -8 10 0
-1 8 4 0
8 -1 -7 0
-5 -4 -9 0
-10 -9 -7 0
-1 -7 5 0
8 -4 3 0
6 5 2 0
-4 -2 -1 0
-5 4 -10 0
8 -7 -4 0
-3 6 -4 0
-4 6 8 0
10 9 6 0
-9 5 6 0
-9 -5 -4 0
8 10 -1 0
6 -4 1 0
-8 3 -5 0
3 -4 2 0
3 8 -1 0
-1 -9 3 0
8 -2 -1 0
2 9 -4 0
6 5 2 0
-9 -6 -7 0
-10 6 3 0
8 1 -7 0
8 -7 3 0

