Please solve the following SAT Problem encoded in DIMACS format, only return a single solution assignment without explanations, if there is any: 
p cnf 10 95
-6 -10 2 0
-1 7 9 0
3 5 -9 0
4 8 -2 0
9 -3 2 0
9 -1 -7 0
-9 8 7 0
8 -3 2 0
-3 -10 7 0
9 8 -3 0
6 -9 5 0
-2 -10 6 0
8 10 9 0
8 -2 -3 0
10 7 6 0
7 9 -1 0
2 -10 -3 0
9 6 -10 0
6 -5 7 0
-1 4 6 0
-10 9 3 0
4 -8 -1 0
5 9 -10 0
8 -10 -3 0
-10 5 -3 0
-4 7 9 0
-1 -10 -3 0
-8 6 2 0
8 5 -1 0
-10 8 -9 0
5 4 -1 0
5 -10 -1 0
4 -10 2 0
-4 -8 2 0
8 -3 6 0
2 8 10 0
1 -3 6 0
2 -3 8 0
9 5 -3 0
-1 -3 -10 0
-10 1 8 0
-1 2 -3 0
5 -10 -8 0
6 2 7 0
-10 7 -6 0
4 9 7 0
-1 6 4 0
-1 -9 -10 0
-1 8 2 0
2 7 9 0
4 6 8 0
10 8 -9 0
5 10 7 0
3 9 5 0
-10 9 -4 0
-3 5 10 0
9 7 -6 0
6 9 7 0
8 -3 2 0
6 1 8 0
-2 9 5 0
-5 -10 -8 0
6 -1 4 0
8 7 6 0
8 4 6 0
-3 2 -10 0
-10 7 6 0
-4 -1 8 0
9 -10 -3 0
2 3 4 0
4 7 -3 0
-10 8 7 0
-1 9 -2 0
5 -10 9 0
3 6 2 0
9 4 2 0
-9 2 -7 0
8 10 6 0
4 6 7 0
-1 2 6 0
-8 -2 -1 0
1 9 -3 0
7 -3 -10 0
-1 5 4 0
6 5 -10 0
-3 2 9 0
-3 8 7 0
8 -3 9 0
5 -1 4 0
-1 2 -10 0
2 10 -3 0
-7 -1 4 0
5 7 -8 0
5 9 7 0
5 2 -10 0

