Please solve the following SAT Problem encoded in DIMACS format, only return a single solution assignment without explanations, if there is any: 
p cnf 10 65
-10 -4 9 0
9 -7 -5 0
3 -4 9 0
-7 -8 1 0
-3 -10 8 0
-7 5 8 0
-6 1 -10 0
-6 5 -7 0
-10 8 -4 0
9 8 -10 0
-10 5 8 0
5 1 -7 0
1 -3 -7 0
-2 9 -7 0
1 -10 4 0
-4 -10 3 0
7 -3 8 0
5 1 -9 0
-4 9 -7 0
-6 -2 9 0
8 -7 -10 0
-10 1 -6 0
1 -8 -6 0
5 9 -2 0
-7 1 9 0
5 9 -2 0
10 3 -7 0
4 -6 9 0
-2 -4 -9 0
-4 5 -10 0
-7 6 -3 0
2 -3 -6 0
-2 -3 5 0
7 -6 -3 0
8 -5 -7 0
9 1 -3 0
-7 -6 -9 0
-7 -6 9 0
-7 2 9 0
5 -4 -3 0
-7 -4 -2 0
3 -10 9 0
7 8 -6 0
-2 5 -4 0
9 -4 5 0
-7 9 5 0
6 1 -7 0
9 -10 -7 0
9 -2 1 0
-7 9 5 0
-8 -3 5 0
9 -4 -10 0
5 4 -10 0
8 3 -6 0
8 7 3 0
1 -7 4 0
-2 -6 -5 0
-6 -4 -10 0
-7 3 -6 0
3 -4 9 0
-4 6 9 0
-4 -7 1 0
-4 -8 -6 0
-3 9 10 0
-6 -2 -10 0

